Accession,genome_count_A,genome_count_B,absent_count_A,absent_count_B,total_genomes_A,total_genomes_B,freq_A,freq_B,odds_ratio_A_vs_B,p_value,freq_difference_A_minus_B,absolute_freq_difference,freq_ratio,fdr_bh,significant_fdr,enriched_clade
VFG019729(gb|WP_003107299),4804,1255,3936,1584,8740,2839,0.5496567505720824,0.4420570623458964,1.5404022509544366,2.1908967026557916e-23,0.10759968822618599,0.10759968822618599,1.2434067847602726,2.2238570955276045e-22,TRUE,Clade_A
VFG016062(gb|WP_165446461),1344,241,7396,2598,8740,2839,0.15377574370709382,0.08488904543853469,1.9588545664445802,4.1789745846836905e-22,0.06888669826855913,0.06888669826855913,1.8114910223420722,4.186274103608902e-21,TRUE,Clade_A
VFG051539(gb|WP_011531908.1),166,0,8574,2839,8740,2839,0.018993135011441648,0,Inf,5.237130189157468e-21,0.018993135011441648,0.018993135011441648,Inf,5.1784382128996686e-20,TRUE,Clade_A
VFG015856(gb|NP_248716),8438,2624,302,215,8740,2839,0.9654462242562929,0.9242691088411412,2.2891450567860323,3.114804539348014e-18,0.04117711541515168,0.04117711541515168,1.0445510025394877,3.027695598840824e-17,TRUE,Clade_A
VFG051835(gb|WP_011979143.1),7952,2419,788,420,8740,2839,0.9098398169336385,0.8520605847129271,1.7519669583561686,2.810249360534011e-17,0.05777923222071135,0.05777923222071135,1.0678111782863164,2.6861300137770923e-16,TRUE,Clade_A
VFG013930(gb|WP_003150019),132,0,8608,2839,8740,2839,0.015102974828375287,0,Inf,7.917438058075134e-17,0.015102974828375287,0.015102974828375287,Inf,7.536349753205127e-16,TRUE,Clade_A
VFG019935(gb|WP_003111059),8175,2516,565,323,8740,2839,0.9353546910755148,0.8862275449101796,1.8575028349676166,2.1333699848185822e-16,0.0491271461653352,0.0491271461653352,1.0554340095243986,2.0222936963528212e-15,TRUE,Clade_A
VFG014977(gb|WP_012077870),8220,2535,520,304,8740,2839,0.9405034324942791,0.8929200422684044,1.8956508383458615,2.1493640511768237e-16,0.047583390225874767,0.047583390225874767,1.0532896429393523,2.029070425267339e-15,TRUE,Clade_A
VFG000153(gb|NP_252166),8169,2516,571,323,8740,2839,0.9346681922196797,0.8862275449101796,1.8364406032470895,7.151603653019502e-16,0.04844064730950004,0.04844064730950004,1.0546593790586927,6.669015764238512e-15,TRUE,Clade_A
VFG015052(gb|WP_003138177),8168,2516,572,323,8740,2839,0.9345537757437071,0.8862275449101796,1.8330078639890763,7.667406724697921e-16,0.048326230833527495,0.048326230833527495,1.054530273981075,7.121065192897584e-15,TRUE,Clade_A
VFG014681(gb|NP_253640),8739,2813,1,26,8740,2839,0.9998855835240275,0.9908418457203241,80.80838466468909,2.538120042357715e-15,0.009043737803703378,0.009043737803703378,1.0091273272750494,2.3104949909399198e-14,TRUE,Clade_A
VFG019873(gb|WP_003095673),8739,2813,1,26,8740,2839,0.9998855835240275,0.9908418457203241,80.80838466468909,2.538120042357715e-15,0.009043737803703378,0.009043737803703378,1.0091273272750494,2.3104949909399198e-14,TRUE,Clade_A
VFG041029(gb|NP_250362),8381,2613,359,226,8740,2839,0.9589244851258582,0.9203945051074321,2.019080418196519,7.982417027302747e-15,0.038529980018426,0.038529980018426,1.0418624620253776,7.237812118827076e-14,TRUE,Clade_A
VFG016129(gb|WP_003157555),8302,2582,438,257,8740,2839,0.9498855835240274,0.9094751673124339,1.8866096942693866,5.56141839779882e-14,0.04041041621159347,0.04041041621159347,1.0444326768492307,4.964161013443772e-13,TRUE,Clade_A
VFG000152(gb|NP_252167),8181,2538,559,301,8740,2839,0.9360411899313501,0.8939767523775978,1.7355574199407622,7.840345934167346e-13,0.04206443755375233,0.04206443755375233,1.0470531671454306,6.971222315108485e-12,TRUE,Clade_A
VFG019934(gb|WP_003119559),8182,2542,558,297,8740,2839,0.9361556064073226,0.8953856991898556,1.7130883896012046,3.124674578684177e-12,0.040769907217467094,0.040769907217467094,1.0455333464163608,2.756924416731347e-11,TRUE,Clade_A
VFG009815(gb|WP_162830471),105,1,8635,2838,8740,2839,0.012013729977116704,3.522367030644593e-4,34.50571571026979,4.865542682759838e-12,0.011661493274052245,0.011661493274052245,34.10697940503432,4.1960732760342357e-11,TRUE,Clade_A
VFG009816(gb|WP_165928405),105,1,8635,2838,8740,2839,0.012013729977116704,3.522367030644593e-4,34.50571571026979,4.865542682759838e-12,0.011661493274052245,0.011661493274052245,34.10697940503432,4.1960732760342357e-11,TRUE,Clade_A
VFG009820(gb|WP_036377494),105,1,8635,2838,8740,2839,0.012013729977116704,3.522367030644593e-4,34.50571571026979,4.865542682759838e-12,0.011661493274052245,0.011661493274052245,34.10697940503432,4.1960732760342357e-11,TRUE,Clade_A
VFG024170(gb|WP_014381773),105,1,8635,2838,8740,2839,0.012013729977116704,3.522367030644593e-4,34.50571571026979,4.865542682759838e-12,0.011661493274052245,0.011661493274052245,34.10697940503432,4.1960732760342357e-11,TRUE,Clade_A
VFG024171(gb|WP_014710887),105,1,8635,2838,8740,2839,0.012013729977116704,3.522367030644593e-4,34.50571571026979,4.865542682759838e-12,0.011661493274052245,0.011661493274052245,34.10697940503432,4.1960732760342357e-11,TRUE,Clade_A
VFG027154(gb|WP_020821555),105,1,8635,2838,8740,2839,0.012013729977116704,3.522367030644593e-4,34.50571571026979,4.865542682759838e-12,0.011661493274052245,0.011661493274052245,34.10697940503432,4.1960732760342357e-11,TRUE,Clade_A
VFG015049(gb|WP_003119559),8181,2543,559,296,8740,2839,0.9360411899313501,0.8957379358929201,1.7033946186203357,5.5867184873794366e-12,0.04030325403843005,0.04030325403843005,1.044994470395243,4.7999746105050294e-11,TRUE,Clade_A
VFG051636(gb|WP_012614150.1),8181,2548,559,291,8740,2839,0.9360411899313501,0.8974991194082423,1.6713461920948494,3.7300398813939894e-11,0.03854207052310776,0.03854207052310776,1.0429438533026307,3.169152402932523e-10,TRUE,Clade_A
VFG051637(gb|WP_012075688.1),8181,2548,559,291,8740,2839,0.9360411899313501,0.8974991194082423,1.6713461920948494,3.7300398813939894e-11,0.03854207052310776,0.03854207052310776,1.0429438533026307,3.169152402932523e-10,TRUE,Clade_A
VFG041040(gb|NP_251058),8180,2548,560,291,8740,2839,0.9359267734553776,0.8974991194082423,1.6681580286427715,4.96226590105201e-11,0.03842765404713522,0.03842765404713522,1.0428163696388606,4.185087491549011e-10,TRUE,Clade_A
VFG051639(gb|WP_003089496.1),8180,2548,560,291,8740,2839,0.9359267734553776,0.8974991194082423,1.6681580286427715,4.96226590105201e-11,0.03842765404713522,0.03842765404713522,1.0428163696388606,4.185087491549011e-10,TRUE,Clade_A
VFG041039(gb|NP_251057),8182,2550,558,289,8740,2839,0.9361556064073226,0.8982035928143712,1.661733781082228,7.895247608025725e-11,0.03795201359295142,0.03795201359295142,1.0422532418001527,6.538519138198923e-10,TRUE,Clade_A
VFG051631(gb|WP_003089495.1),8182,2550,558,289,8740,2839,0.9361556064073226,0.8982035928143712,1.661733781082228,7.895247608025725e-11,0.03795201359295142,0.03795201359295142,1.0422532418001527,6.538519138198923e-10,TRUE,Clade_A
VFG051632(gb|WP_003089495.1),8182,2550,558,289,8740,2839,0.9361556064073226,0.8982035928143712,1.661733781082228,7.895247608025725e-11,0.03795201359295142,0.03795201359295142,1.0422532418001527,6.538519138198923e-10,TRUE,Clade_A
VFG051634(gb|WP_003089495.1),8182,2550,558,289,8740,2839,0.9361556064073226,0.8982035928143712,1.661733781082228,7.895247608025725e-11,0.03795201359295142,0.03795201359295142,1.0422532418001527,6.538519138198923e-10,TRUE,Clade_A
VFG041036(gb|NP_251054),8180,2551,560,288,8740,2839,0.9359267734553776,0.8985558295174357,1.6490208337224768,1.4181224940674427e-10,0.037370943937941825,0.037370943937941825,1.0415900077772704,1.1660118284554529e-9,TRUE,Clade_A
VFG041037(gb|NP_251055),8187,2554,553,285,8740,2839,0.9367276887871854,0.8996125396266291,1.6519708578721695,1.4838360498292566e-10,0.03711514916055625,0.03711514916055625,1.041256816157721,1.2156856779672553e-9,TRUE,Clade_A
VFG051829(gb|WP_003138819.1),8182,2553,558,286,8740,2839,0.9361556064073226,0.8992603029235646,1.6425533928537055,2.2345058509838433e-10,0.036895303483758024,0.036895303483758024,1.0410285023855812,1.8241837801270236e-9,TRUE,Clade_A
VFG020046(gb|WP_012613422),8333,2616,407,223,8740,2839,0.9534324942791762,0.9214512152166255,1.7451988684155106,3.4912697527183086e-10,0.03198127906255066,0.03198127906255066,1.034707511948999,2.8400612811119856e-9,TRUE,Clade_A
VFG041034(gb|NP_251052),8205,2564,535,275,8740,2839,0.9387871853546911,0.9031349066572737,1.6448200861345446,4.0357860730156714e-10,0.03565227869741738,0.03565227869741738,1.0394761385421092,3.259891989964067e-9,TRUE,Clade_A
VFG051611(gb|WP_003104706.1),8205,2564,535,275,8740,2839,0.9387871853546911,0.9031349066572737,1.6448200861345446,4.0357860730156714e-10,0.03565227869741738,0.03565227869741738,1.0394761385421092,3.259891989964067e-9,TRUE,Clade_A
VFG051612(gb|WP_012075691.1),8203,2563,537,276,8740,2839,0.938558352402746,0.9027826699542092,1.6448936571748771,4.284846882207634e-10,0.035775682448536794,0.035775682448536794,1.0396282335042513,3.448925876415548e-9,TRUE,Clade_A
VFG023254(gb|WP_013826991),85,1,8655,2838,8740,2839,0.009725400457665904,3.522367030644593e-4,27.868688415497576,1.2971098874672232e-9,0.009373163754601444,0.009373163754601444,27.6104118993135,1.029609024861526e-8,TRUE,Clade_A
VFG051614(gb|WP_003131567.1),8203,2567,537,272,8740,2839,0.938558352402746,0.9041916167664671,1.6185323253679518,1.5340943266002663e-9,0.0343667356362789,0.0343667356362789,1.03800824404807,1.2135215121451761e-8,TRUE,Clade_A
VFG015504(gb|WP_041025452),250,29,8490,2810,8740,2839,0.028604118993135013,0.010214864388869321,2.853232456216856,2.122701344731496e-9,0.018389254604265694,0.018389254604265694,2.800244614534838,1.6733597542316332e-8,TRUE,Clade_A
VFG038755(gb|WP_011706626),70,0,8670,2839,8740,2839,0.008009153318077803,0,Inf,3.843603593913002e-9,0.008009153318077803,0.008009153318077803,Inf,3.0195981659028855e-8,TRUE,Clade_A
VFG014707(gb|NP_250151),8244,2586,496,253,8740,2839,0.9432494279176201,0.9108841141246918,1.6260278948996811,4.446417081724943e-9,0.032365313792928285,0.032365313792928285,1.0355317578724375,3.4694152331554485e-8,TRUE,Clade_A
VFG019877(gb|WP_003159935),8244,2586,496,253,8740,2839,0.9432494279176201,0.9108841141246918,1.6260278948996811,4.446417081724943e-9,0.032365313792928285,0.032365313792928285,1.0355317578724375,3.4694152331554485e-8,TRUE,Clade_A
VFG014709(gb|WP_003083089),8242,2586,498,253,8740,2839,0.943020594965675,0.9108841141246918,1.6191054914743181,4.791034571372232e-9,0.032136480840983195,0.032136480840983195,1.0352805371645597,3.7256384090603054e-8,TRUE,Clade_A
VFG014629(gb|NP_250146),8243,2587,497,252,8740,2839,0.9431350114416476,0.9112363508277562,1.615522459087724,5.968134601280367e-9,0.03189866061389135,0.03189866061389135,1.0350059132133118,4.6253043159922846e-8,TRUE,Clade_A
VFG001265(gb|NP_250145),8249,2589,491,250,8740,2839,0.9438215102974828,0.9119408242338851,1.6222118034515307,6.3538037817161045e-9,0.03188068606359773,0.03188068606359773,1.0349591609635203,4.9076181398170856e-8,TRUE,Clade_A
VFG014618(gb|WP_003083064),8248,2589,492,250,8740,2839,0.9437070938215103,0.9119408242338851,1.618718732974085,6.53797976725751e-9,0.031766269587625184,0.031766269587625184,1.034833696160397,5.032928049023063e-8,TRUE,Clade_A
VFG043013(gb|NP_250148),8247,2589,493,250,8740,2839,0.9435926773455378,0.9119408242338851,1.6152398322581685,6.83302586153566e-9,0.03165185311165264,0.03165185311165264,1.0347082313572737,5.242461982061138e-8,TRUE,Clade_A
VFG014630(gb|WP_003083070),8237,2585,503,254,8740,2839,0.9424485125858123,0.9105318774216273,1.6089939550360903,7.05143081754756e-9,0.03191663516418497,0.03191663516418497,1.03505273780701,5.391994098484701e-8,TRUE,Clade_A
